Trip ID,Subscription (Y or N),ADA/Non,Anchor,RequestTime,PCAs,Companions,ServiceAnimal,PickHouseNumber,PickAddress1,Pickcity,pickzip,DropHouseNumber,DropAddress1,Dropcity,DropZip,PickFullAddress,DropFullAddress,PickGeo,DropGeo
12,N,Non-ADA,P,11:15 PM,0,0,N,101,INDEPENDENCE WAY,DANVERS,1923,181,NEWBURY ST,DANVERS,1923,"101 INDEPENDENCE WAY, DANVERS, 1923","181 NEWBURY ST, DANVERS, 1923","42.5507221,-70.9379879","42.57338360000001,-70.9711239"
13,Y,ADA,A,9:00 AM,0,0,N,1956,COMMONWEALTH AVE,BRIGHTON,2135,49,Brattle St,CAMBRIDGE,2138,"1956 COMMONWEALTH AVE, BRIGHTON, 2135","49 Brattle St, CAMBRIDGE, 2138","42.3409543,-71.1645147","42.3742077,-71.1214233"
14,Y,ADA,P,11:00 AM,0,0,N,43,Brattle St,CAMBRIDGE,2138,1950,COMMONWEALTH AVE,BRIGHTON,2135,"43 Brattle St, CAMBRIDGE, 2138","1950 COMMONWEALTH AVE, BRIGHTON, 2135","42.3739105,-71.12111500000002","42.3385658,-71.1558026"
15,N,Non-ADA,A,1:00 PM,0,0,N,5316,HIGHLAND GLEN RD,WESTWOOD,2090,28,WILSON WAY,WESTWOOD,2090,"5316 HIGHLAND GLEN RD, WESTWOOD, 2090","28 WILSON WAY, WESTWOOD, 2090","42.2143054,-71.2315847","42.2153148,-71.1849232"
16,N,Non-ADA,P,2:30 PM,0,0,N,27,WILSON WAY,WESTWOOD,2090,5315,HIGHLAND GLEN RD,WESTWOOD,2090,"27 WILSON WAY, WESTWOOD, 2090","5315 HIGHLAND GLEN RD, WESTWOOD, 2090","42.2149672,-71.1842008","42.2143054,-71.2315847"
17,Y,ADA,P,7:00 AM,0,0,N,25,Larkin Rd,NEWTON,2465,370,Mass Ave,ARLINGTON,2474,"25 Larkin Rd, NEWTON, 2465","370 Mass Ave, ARLINGTON, 2474","42.3495852,-71.2368002","42.4121092,-71.1491668"
18,Y,ADA,P,5:30 PM,0,0,N,370,Mass Ave,ARLINGTON,2474,25,Larkin Rd,NEWTON,2465,"370 Mass Ave, ARLINGTON, 2474","25 Larkin Rd, NEWTON, 2465","42.4121092,-71.1491668","42.3495852,-71.2368002"
19,N,ADA,A,10:30 AM,0,0,N,33,ROSEMARY ST,JAMAICA PLAIN,2130,66,TEMPLE PL,BOSTON,2111,"33 ROSEMARY ST, JAMAICA PLAIN, 2130","66 TEMPLE PL, BOSTON, 2111","42.3040691,-71.1131863","42.3549948,-71.0616465"
20,N,ADA,A,9:30 AM,0,0,N,133,AUCKLAND ST,DORCHESTER,2122,125,Main St,WATERTOWN,2472,"133 AUCKLAND ST, DORCHESTER, 2122","125 Main St, WATERTOWN, 2472","42.31011669999999,-71.057025","42.3674166,-71.1875465"
21,N,ADA,P,3:30 PM,0,0,N,127,Main St,WATERTOWN,2472,135,AUCKLAND ST,DORCHESTER,2122,"127 Main St, WATERTOWN, 2472","135 AUCKLAND ST, DORCHESTER, 2122","42.3674166,-71.1875465","42.3100944,-71.0570298"
22,N,ADA,A,8:05 AM,0,0,Y,73,BIRD ST,DORCHESTER,2125,30,HIGH ST,MILTON,2186,"73 BIRD ST, DORCHESTER, 2125","30 HIGH ST, MILTON, 2186","42.3139025,-71.0698311","42.2693097,-71.0679768"
23,N,ADA,P,4:45 PM,0,0,Y,73,BROOKS DR,BRAINTREE,2184,75,BIRD ST,DORCHESTER,2125,"73 BROOKS DR, BRAINTREE, 2184","75 BIRD ST, DORCHESTER, 2125","42.2109738,-71.0387909","42.3138893,-71.0698231"
24,N,ADA,P,8:50 AM,0,0,Y,32,HIGH ST,MILTON,2186,73,BROOKS DR,BRAINTREE,2184,"32 HIGH ST, MILTON, 2186","73 BROOKS DR, BRAINTREE, 2184","42.2692595,-71.0679444","42.2109738,-71.0387909"
25,N,ADA,A,4:00 PM,1,0,N,299,STATE ST,BOSTON,2109,854,Beacon St,NEWTON,2459,"299 STATE ST, BOSTON, 2109","854 Beacon St, NEWTON, 2459","42.3597594,-71.0509625","42.3302612,-71.19658249999999"
26,N,ADA,A,10:00 AM,1,0,N,657,HUNTINGTON AVE,BOSTON,2115,303,STATE ST,BOSTON,2109,"657 HUNTINGTON AVE, BOSTON, 2115","303 STATE ST, BOSTON, 2109","42.335539,-71.1018417","42.3597594,-71.0509625"
27,N,ADA,A,2:00 PM,0,0,N,6,RUBIN CT,CANTON,2021,306,Walpole St,NORWOOD,2062,"6 RUBIN CT, CANTON, 2021","306 Walpole St, NORWOOD, 2062","42.144912,-71.15420999999999","42.1831899,-71.2140738"
28,N,ADA,P,6:30 PM,0,0,N,312,Walpole St,NORWOOD,2062,12,RUBIN CT,CANTON,2021,"312 Walpole St, NORWOOD, 2062","12 RUBIN CT, CANTON, 2021","42.18245,-71.215265","42.144912,-71.15420999999999"
29,N,ADA,A,9:30 AM,0,0,N,32,LODGEN CT,MALDEN,2148,101,William T Morrissey Blvd,DORCHESTER,2125,"32 LODGEN CT, MALDEN, 2148","101 William T Morrissey Blvd, DORCHESTER, 2125","42.4270097,-71.0428094","42.3158544,-71.0493702"
30,N,ADA,P,4:30 PM,0,0,N,107,William T Morrissey Blvd,DORCHESTER,2125,38,LODGEN CT,MALDEN,2148,"107 William T Morrissey Blvd, DORCHESTER, 2125","38 LODGEN CT, MALDEN, 2148","42.3175086,-71.0480359","42.4270097,-71.0428094"
31,N,Non-ADA,A,11:00 AM,0,0,N,51,SCHOOL ST,WESTON,2493,65,OLD COLONY AVE,SOUTH BOSTON,2127,"51 SCHOOL ST, WESTON, 2493","65 OLD COLONY AVE, SOUTH BOSTON, 2127","42.3646088,-71.2945424","42.33579340000001,-71.0560206"
32,N,Non-ADA,P,1:30 PM,0,0,N,60,OLD COLONY AVE,SOUTH BOSTON,2127,46,SCHOOL ST,WESTON,2493,"60 OLD COLONY AVE, SOUTH BOSTON, 2127","46 SCHOOL ST, WESTON, 2493","42.3361768,-71.0555746","42.3650352,-71.2951353"
33,N,ADA,P,9:10 PM,0,0,N,94,SOUTH ST,JAMAICA PLAIN,2130,134,DARTMOUTH ST,BOSTON,2116,"94 SOUTH ST, JAMAICA PLAIN, 2130","134 DARTMOUTH ST, BOSTON, 2116","42.3064742,-71.1145774","42.3462045,-71.07540589999999"
34,N,ADA,A,1:45 PM,0,0,N,233,STUART ST,BOSTON,2116,5,San Juan St,SOUTH END,2118,"233 STUART ST, BOSTON, 2116","5 San Juan St, SOUTH END, 2118","42.350607,-71.0682999","30.282151,-81.7096177"
35,N,ADA,P,3:30 PM,0,0,N,7,San Juan St,SOUTH END,2118,235,STUART ST,BOSTON,2116,"7 San Juan St, SOUTH END, 2118","235 STUART ST, BOSTON, 2116","29.8829594,-81.3097298","42.3505957,-71.06833929999999"
36,N,ADA,A,5:30 PM,0,0,N,339,MASSACHUSETTS AVE,BOSTON,2115,1205,BEACON ST,BROOKLINE,2446,"339 MASSACHUSETTS AVE, BOSTON, 2115","1205 BEACON ST, BROOKLINE, 2446","42.4807659,-71.5004415","42.3434428,-71.1161127"
37,N,ADA,P,8:30 PM,0,0,N,1204,BEACON ST,BROOKLINE,2446,338,MASSACHUSETTS AVE,BOSTON,2115,"1204 BEACON ST, BROOKLINE, 2446","338 MASSACHUSETTS AVE, BOSTON, 2115","42.3435108,-71.1167676","42.3424707,-71.08408419999999"
38,N,ADA,P,10:30 PM,0,0,N,1947,Washington St,SOUTH END,2118,100,BRACKETT ST,QUINCY,2169,"1947 Washington St, SOUTH END, 2118","100 BRACKETT ST, QUINCY, 2169","42.3339055,-71.0802823","42.252881,-70.9920873"
39,N,ADA,A,6:30 PM,0,0,N,104,BRACKETT ST,QUINCY,2169,1951,Washington St,SOUTH END,2118,"104 BRACKETT ST, QUINCY, 2169","1951 Washington St, SOUTH END, 2118","42.252881,-70.9920873","42.3338776,-71.0803162"
40,Y,ADA,P,1:00 PM,1,0,N,37,POND AVE,BROOKLINE,2445,1157,CENTRE ST,JAMAICA PLAIN,2130,"37 POND AVE, BROOKLINE, 2445","1157 CENTRE ST, JAMAICA PLAIN, 2130","42.3307255,-71.11466779999999","42.3007981,-71.1286054"
41,Y,ADA,P,6:00 PM,1,0,N,1159,CENTRE ST,JAMAICA PLAIN,2130,39,POND AVE,BROOKLINE,2445,"1159 CENTRE ST, JAMAICA PLAIN, 2130","39 POND AVE, BROOKLINE, 2445","42.3007795,-71.12862419999999","42.3305218,-71.1144441"
42,N,ADA,A,1:00 PM,1,0,N,53,W DEDHAM ST,SOUTH END,2118,854,HARRISON AVE,SOUTH END,2118,"53 W DEDHAM ST, SOUTH END, 2118","854 HARRISON AVE, SOUTH END, 2118","42.3420496,-71.07273219999999","42.3347717,-71.07534869999999"
43,N,ADA,A,12:00 PM,1,0,N,756,TREMONT ST,SOUTH END,2118,30,WINTHROP ST,ROXBURY,2119,"756 TREMONT ST, SOUTH END, 2118","30 WINTHROP ST, ROXBURY, 2119","42.3397349,-71.07900529999999","42.3741472,-71.06122359999999"
44,N,ADA,A,4:30 PM,1,0,N,83,W DEDHAM ST,BOSTON,2118,331,WARREN ST,ROXBURY,2119,"83 W DEDHAM ST, BOSTON, 2118","331 WARREN ST, ROXBURY, 2119","42.3423493,-71.0730597","42.3198399,-71.0814006"
45,Y,ADA,P,7:00 AM,0,0,N,11,HART CIR,RANDOLPH,2368,1012,HARRISON AVE,ROXBURY,2119,"11 HART CIR, RANDOLPH, 2368","1012 HARRISON AVE, ROXBURY, 2119","42.1598599,-71.0311298","42.3308576,-71.07995749999999"
46,Y,ADA,P,2:45 PM,0,0,N,1012,HARRISON AVE,ROXBURY,2119,11,HART CIR,RANDOLPH,2368,"1012 HARRISON AVE, ROXBURY, 2119","11 HART CIR, RANDOLPH, 2368","42.3308576,-71.07995749999999","42.1598599,-71.0311298"
47,Y,ADA,A,8:30 AM,0,0,N,18,E BROOKLINE ST,BOSTON,2118,117,Watertown St,WATERTOWN,2472,"18 E BROOKLINE ST, BOSTON, 2118","117 Watertown St, WATERTOWN, 2472","42.3388848,-71.0711778","42.3629995,-71.191363"
48,Y,ADA,P,2:30 PM,0,0,N,122,Watertown St,WATERTOWN,2472,23,E BROOKLINE ST,BOSTON,2118,"122 Watertown St, WATERTOWN, 2472","23 E BROOKLINE ST, BOSTON, 2118","42.3630886,-71.1911674","42.3387869,-71.0715084"
49,N,ADA,P,3:00 PM,0,0,N,106,Morrissey Blvd,DORCHESTER,2125,26,E BROOKLINE ST,SOUTH END,2118,"106 Morrissey Blvd, DORCHESTER, 2125","26 E BROOKLINE ST, SOUTH END, 2118","42.3154925,-71.0477734","42.3386602,-71.0710644"
50,N,ADA,A,9:45 AM,0,0,N,26,E BROOKLINE ST,SOUTH END,2118,106,Morrissey Blvd,DORCHESTER,2125,"26 E BROOKLINE ST, SOUTH END, 2118","106 Morrissey Blvd, DORCHESTER, 2125","42.3386602,-71.0710644","42.3154925,-71.0477734"
51,N,ADA,A,11:30 AM,0,0,N,158,SEA ST,QUINCY,2169,172,DARTMOUTH ST,BOSTON,2116,"158 SEA ST, QUINCY, 2169","172 DARTMOUTH ST, BOSTON, 2116","42.260849,-70.994424","42.3474561,-71.0761022"
52,N,ADA,A,3:00 PM,0,0,N,11,CRISPUS ATTUCKS PL,ROXBURY,2119,833,Tremont St,SOUTH END,2118,"11 CRISPUS ATTUCKS PL, ROXBURY, 2119","833 Tremont St, SOUTH END, 2118","42.3251246,-71.0880365","42.3379263,-71.082897"
53,N,ADA,P,4:00 PM,0,0,N,51,Rutland St,SOUTH END,2118,82,Walnut Park,ROXBURY,2119,"51 Rutland St, SOUTH END, 2118","82 Walnut Park, ROXBURY, 2119","42.3400851,-71.0760269","42.3147867,-71.0948715"
54,N,ADA,P,8:15 AM,0,0,N,86,Walnut Park,ROXBURY,2119,55,Rutland St,SOUTH END,2118,"86 Walnut Park, ROXBURY, 2119","55 Rutland St, SOUTH END, 2118","42.3143185,-71.0940579","42.340203,-71.0761071"
55,N,ADA,A,9:35 AM,0,0,N,10,SUMMER ST,HYDE PARK,2136,573,RUTHERFORD AVENUE,CHARLESTOWN,2129,"10 SUMMER ST, HYDE PARK, 2136","573 RUTHERFORD AVENUE, CHARLESTOWN, 2129","42.2568893,-71.125725","42.3828749,-71.0723366"
56,N,ADA,P,10:45 AM,0,0,N,573,RUTHERFORD AVENUE,CHARLESTOWN,2129,10,SUMMER ST,HYDE PARK,2136,"573 RUTHERFORD AVENUE, CHARLESTOWN, 2129","10 SUMMER ST, HYDE PARK, 2136","42.3828749,-71.0723366","42.2568893,-71.125725"
57,N,ADA,P,7:25 PM,1,0,N,95,TREMONT ST,BOSTON,2108,13,OSCAR ST,ROXBURY CROSSING,2120,"95 TREMONT ST, BOSTON, 2108","13 OSCAR ST, ROXBURY CROSSING, 2120","42.3570891,-71.0617132","42.3303079,-71.0975256"
58,N,ADA,P,8:00 AM,0,0,N,11,OSCAR ST,ROXBURY CROSSING,2120,105,CAMBRIDGE ST,BOSTON,2114,"11 OSCAR ST, ROXBURY CROSSING, 2120","105 CAMBRIDGE ST, BOSTON, 2114","42.3303079,-71.0975256","42.3613072,-71.0629462"
59,Y,ADA,A,9:00 AM,0,0,N,395,Lagrange St,WEST ROXBURY,2132,1504,Dorchester Ave,DORCHESTER,2122,"395 Lagrange St, WEST ROXBURY, 2132","1504 Dorchester Ave, DORCHESTER, 2122","42.2807113,-71.1577519","42.2993278,-71.0601432"
60,Y,ADA,P,2:30 PM,0,0,N,1504,Dorchester Ave,DORCHESTER,2122,395,Lagrange St,WEST ROXBURY,2132,"1504 Dorchester Ave, DORCHESTER, 2122","395 Lagrange St, WEST ROXBURY, 2132","42.2993278,-71.0601432","42.2807113,-71.1577519"
61,N,ADA,A,11:00 AM,0,0,N,45,JACKSON ST,CAMBRIDGE,2140,315,MISHAWUM RD,WOBURN,1801,"45 JACKSON ST, CAMBRIDGE, 2140","315 MISHAWUM RD, WOBURN, 1801","42.3949489,-71.13508259999999","42.5035554,-71.1310985"
62,N,ADA,P,1:00 PM,1,0,N,316,MISHAWUM RD,WOBURN,1801,46,JACKSON ST,CAMBRIDGE,2140,"316 MISHAWUM RD, WOBURN, 1801","46 JACKSON ST, CAMBRIDGE, 2140","42.5044042,-71.1335046","42.3948812,-71.1353735"
63,N,ADA,A,10:30 AM,0,0,N,48,LINCOLN WAY,CAMBRIDGE,2140,47,FRANCIS ST,BOSTON,2115,"48 LINCOLN WAY, CAMBRIDGE, 2140","47 FRANCIS ST, BOSTON, 2115","42.387969,-71.12912419999999","42.334121,-71.1048866"
64,N,ADA,P,12:00 PM,0,0,N,48,FRANCIS ST,BOSTON,2115,49,LINCOLN WAY,CAMBRIDGE,2140,"48 FRANCIS ST, BOSTON, 2115","49 LINCOLN WAY, CAMBRIDGE, 2140","42.335461,-71.10731299999999","42.3879309,-71.1293232"
65,N,ADA,A,7:00 AM,0,0,N,24,WALDEN SQUARE RD,CAMBRIDGE,2140,211,CAMBRIDGE ST,CAMBRIDGE,2141,"24 WALDEN SQUARE RD, CAMBRIDGE, 2140","211 CAMBRIDGE ST, CAMBRIDGE, 2141","42.3895516,-71.1299089","42.3712023,-71.07937009999999"
66,N,ADA,P,7:45 PM,0,0,N,1642,Blue Hill Ave,MATTAPAN,2126,25,WALDEN SQUARE RD,CAMBRIDGE,2140,"1642 Blue Hill Ave, MATTAPAN, 2126","25 WALDEN SQUARE RD, CAMBRIDGE, 2140","42.268114,-71.0933359","42.3894811,-71.1300479"
67,N,ADA,A,12:00 PM,0,0,N,29,ST. SAUVEUR CT,CAMBRIDGE,2138,235,HIGHLAND AVE,SOMERVILLE,2143,"29 ST. SAUVEUR CT, CAMBRIDGE, 2138","235 HIGHLAND AVE, SOMERVILLE, 2143","42.3772638,-71.153024","42.3908234,-71.1089411"
68,N,ADA,P,1:00 PM,0,0,N,235,HIGHLAND AVE,SOMERVILLE,2143,29,ST. SAUVEUR CT,CAMBRIDGE,2138,"235 HIGHLAND AVE, SOMERVILLE, 2143","29 ST. SAUVEUR CT, CAMBRIDGE, 2138","42.3908234,-71.1089411","42.3772638,-71.153024"
69,Y,ADA,P,7:30 AM,0,0,N,22,RANSOM RD,BRIGHTON,2135,426,PEARL ST,MALDEN,2148,"22 RANSOM RD, BRIGHTON, 2135","426 PEARL ST, MALDEN, 2148","42.34307200000001,-71.1450862","42.4151725,-71.077654"
70,N,ADA,A,12:30 PM,0,0,N,42,MAPLE AVE,CAMBRIDGE,2139,808,MASSACHUSETTS AVE,CAMBRIDGE,2139,"42 MAPLE AVE, CAMBRIDGE, 2139","808 MASSACHUSETTS AVE, CAMBRIDGE, 2139","42.3732528,-71.10397669999999","42.3668772,-71.1061655"
71,N,ADA,P,2:00 PM,0,0,N,813,MASSACHUSETTS AVE,CAMBRIDGE,2139,47,MAPLE AVE,CAMBRIDGE,2139,"813 MASSACHUSETTS AVE, CAMBRIDGE, 2139","47 MAPLE AVE, CAMBRIDGE, 2139","42.481873,-71.5166369","42.3736158,-71.1040072"
72,N,Non-ADA,A,10:30 AM,1,0,N,51,Draper St,DORCHESTER,2122,92,Warren St,ROXBURY,2119,"51 Draper St, DORCHESTER, 2122","92 Warren St, ROXBURY, 2119","42.3030276,-71.0638191","42.3747451,-71.0633227"
73,N,ADA,P,12:00 PM,0,0,N,93,Warren St,ROXBURY,2119,208,WESTVILLE ST,DORCHESTER,2122,"93 Warren St, ROXBURY, 2119","208 WESTVILLE ST, DORCHESTER, 2122","42.3269228,-71.08329549999999","42.3018059,-71.0648616"
74,Y,ADA,P,2:30 PM,0,0,N,116,KERNWOOD DR,LYNN,1904,24,NEPTUNE BLVD,LYNN,1902,"116 KERNWOOD DR, LYNN, 1904","24 NEPTUNE BLVD, LYNN, 1902","42.492602,-70.9708926","42.4609555,-70.9536902"
75,Y,ADA,P,4:45 PM,0,0,N,24,NEPTUNE BLVD,LYNN,1902,323,SUMMER ST,LYNN,1905,"24 NEPTUNE BLVD, LYNN, 1902","323 SUMMER ST, LYNN, 1905","42.4609555,-70.9536902","42.460412,-70.9590363"
76,N,ADA,A,8:15 AM,0,0,N,463,E 5TH ST,SOUTH BOSTON,2127,20,Croftland Ave,DORCHESTER,2124,"463 E 5TH ST, SOUTH BOSTON, 2127","20 Croftland Ave, DORCHESTER, 2124","42.3338261,-71.0421136","42.2809543,-71.069675"
77,N,ADA,P,2:45 PM,1,0,N,23,Croftland Ave,DORCHESTER,2124,466,E 5TH ST,SOUTH BOSTON,2127,"23 Croftland Ave, DORCHESTER, 2124","466 E 5TH ST, SOUTH BOSTON, 2127","42.2809666,-71.0696339","42.3338402,-71.0413477"
78,Y,ADA,A,7:45 AM,0,0,N,107,9TH ST,CHARLESTOWN,2129,604,WASHINGTON ST,BOSTON,2111,"107 9TH ST, CHARLESTOWN, 2129","604 WASHINGTON ST, BOSTON, 2111","42.3756765,-71.0519408","42.3527879,-71.062573"
79,Y,ADA,P,5:00 PM,0,0,N,601,WASHINGTON ST,BOSTON,2111,104,9TH ST,CHARLESTOWN,2129,"601 WASHINGTON ST, BOSTON, 2111","104 9TH ST, CHARLESTOWN, 2129","42.3529091,-71.0627284","42.3757496,-71.0520214"
80,N,ADA,P,8:00 PM,1,0,N,386,Main St,CHARLESTOWN,2129,24,DEVENS ST,CHARLESTOWN,2129,"386 Main St, CHARLESTOWN, 2129","24 DEVENS ST, CHARLESTOWN, 2129","42.3800044,-71.06999909999999","42.3738711,-71.0633026"
81,N,ADA,P,10:00 AM,0,0,N,26,DEVENS ST,CHARLESTOWN,2129,388,Main St,CHARLESTOWN,2129,"26 DEVENS ST, CHARLESTOWN, 2129","388 Main St, CHARLESTOWN, 2129","42.3738734,-71.06329939999999","42.3800456,-71.0700394"
82,N,ADA,A,7:00 AM,0,0,N,105,ElIOT RD,REVERE,2151,1452,Broadway,SAUGUS,1906,"105 ElIOT RD, REVERE, 2151","1452 Broadway, SAUGUS, 1906","42.4015761,-70.99261740000001","42.4503056,-71.02601829999999"
83,N,ADA,P,10:00 AM,0,0,N,1455,Broadway,SAUGUS,1906,108,ElIOT RD,REVERE,2151,"1455 Broadway, SAUGUS, 1906","108 ElIOT RD, REVERE, 2151","42.4574395,-71.0239765","42.4018302,-70.9928235"
84,N,ADA,A,11:30 AM,1,0,N,21,WHITTIER DR,EVERETT,2149,22,Main St,WINTHROP,2152,"21 WHITTIER DR, EVERETT, 2149","22 Main St, WINTHROP, 2152","42.4204979,-71.0425897","42.3828486,-70.9930802"
85,N,ADA,P,12:30 PM,1,0,N,20,Main St,WINTHROP,2152,19,WHITTIER DR,EVERETT,2149,"20 Main St, WINTHROP, 2152","19 WHITTIER DR, EVERETT, 2149","42.3798616,-70.9802818","42.4203118,-71.0424062"
86,N,ADA,P,5:45 PM,0,0,N,404,FRONTAGE RD,SOUTH END,2118,75,Liverpool St,EAST BOSTON,2128,"404 FRONTAGE RD, SOUTH END, 2118","75 Liverpool St, EAST BOSTON, 2128","34.7857302,-82.4499034","42.3718638,-71.04096969999999"
87,Y,ADA,A,8:00 AM,0,0,N,78,LivERPOOL ST,EAST BOSTON,2128,407,FRONTAGE RD,SOUTH END,2118,"78 LivERPOOL ST, EAST BOSTON, 2128","407 FRONTAGE RD, SOUTH END, 2118","42.3720458,-71.0413201","34.68681,-82.80223099999999"
88,N,ADA,A,9:00 AM,1,0,N,276,BRANDYWYNE DR,EAST BOSTON,2128,59,CHAUNCY ST,BOSTON,2111,"276 BRANDYWYNE DR, EAST BOSTON, 2128","59 CHAUNCY ST, BOSTON, 2111","42.38736309999999,-71.0134009","42.3535347,-71.06034249999999"
89,N,ADA,P,10:00 AM,1,0,N,55,CHAUNCY ST,BOSTON,2111,272,BRANDYWYNE DR,EAST BOSTON,2128,"55 CHAUNCY ST, BOSTON, 2111","272 BRANDYWYNE DR, EAST BOSTON, 2128","42.3535972,-71.0602877","42.3873459,-71.0134044"
90,N,ADA,P,3:00 PM,0,0,N,103,Riverside Ave,MEDFORD,2155,15,CHESTNUT PARK,BEVERLY,1915,"103 Riverside Ave, MEDFORD, 2155","15 CHESTNUT PARK, BEVERLY, 1915","42.416654,-71.10489749999999","42.5549542,-70.8794819"
91,N,ADA,A,1:00 PM,0,0,N,15,CHESTNUT PARK,BEVERLY,1915,103,Riverside Ave,MEDFORD,2155,"15 CHESTNUT PARK, BEVERLY, 1915","103 Riverside Ave, MEDFORD, 2155","42.5549542,-70.8794819","42.416654,-71.10489749999999"
92,Y,ADA,A,8:20 AM,0,0,N,16,CORMAN RD,MATTAPAN,2126,95,South St,BOSTON,2111,"16 CORMAN RD, MATTAPAN, 2126","95 South St, BOSTON, 2111","42.2722214,-71.1014428","42.3516363,-71.05724459999999"
93,Y,ADA,P,5:00 PM,0,0,N,94,South St,BOSTON,2111,15,CORMAN RD,MATTAPAN,2126,"94 South St, BOSTON, 2111","15 CORMAN RD, MATTAPAN, 2126","42.3512108,-71.0571209","42.2718546,-71.101328"
94,N,ADA,A,10:00 AM,0,0,N,157,HALLET ST,DORCHESTER CENTER,2124,763,Gallivan Blvd,DORCHESTER,2122,"157 HALLET ST, DORCHESTER CENTER, 2124","763 Gallivan Blvd, DORCHESTER, 2122","42.2806334,-71.0470472","42.2850078,-71.0440076"
95,N,ADA,P,11:30 AM,0,0,N,763,Gallivan Blvd,DORCHESTER,2122,157,HALLET ST,DORCHESTER CENTER,2124,"763 Gallivan Blvd, DORCHESTER, 2122","157 HALLET ST, DORCHESTER CENTER, 2124","42.2850078,-71.0440076","42.2806334,-71.0470472"
96,N,ADA,P,11:30 AM,0,0,N,783,WASHINGTON ST,DORCHESTER,2124,11,RIVER ST BRG,MATTAPAN,2126,"783 WASHINGTON ST, DORCHESTER, 2124","11 RIVER ST BRG, MATTAPAN, 2126","42.2842558,-71.0718565","42.2723743,-71.0700223"
97,N,ADA,A,9:00 AM,0,0,N,11,DONWOOD TER,MATTAPAN,2126,777,WASHINGTON ST,DORCHESTER,2124,"11 DONWOOD TER, MATTAPAN, 2126","777 WASHINGTON ST, DORCHESTER, 2124","42.2741117,-71.085016","42.2844662,-71.07176129999999"
